record_id,model_name,model_family,first_release_year,publication_year,publication_status,bibliographic_title,authors,venue,doi,arxiv_id,url,zotero_key,candidate_id,observation_pathways,modality_group,multimodal,temporal_support,explicit_temporal,resolution_min_m,resolution_max_m,resolution_mid_m,parameters_m,ecohydrological_evidence,coding_basis,notes,release_date,release_year_v2,release_month_v2,release_date_basis,release_date_precision,metric_source,title
M007,EarthPT,EarthPT,2023,2023,Preprint/technical report,EarthPT: a time series foundation model for Earth Observation,Michael J. Smith; Luke Fleming; James E. Geach,arXiv (Cornell University),10.48550/arXiv.2309.07207,2309.07207,http://arxiv.org/abs/2309.07207,C6EX8728,zotero:C6EX8728,O,Optical only,no,Explicit time series,yes,10.0,10.0,10.0,700.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-09-13,2023,9,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M012,Prithvi-EO-1.0,Prithvi-EO,2023,2023,Model card/product,Foundation Models for Generalist Geospatial Artificial Intelligence,Johannes Jakubik; Sujit Roy; C. E. Phillips; Paolo Fraccaro; Denys Godwin; Bianca Zadrozny; Daniela Szwarcman; Carlos Gomes; Gabby Nyirjesy; Blair Edwards; Daiki Kimura; Naomi Simumba; Linsong Chu; S. Karthik Mukkavilli; Devyani Lambhate; Kamal Das; Ranjini Bangalore; Dario Oliveira; Michal Muszynski; Kumar Ankur; Muthukumaran Ramasubramanian; Iksha Gurung; Sam Khallaghi; Hanxi; Li; Michael Cecil; Maryam Ahmadi; Fatemeh Kordi; Hamed Alemohammad; Manil Maskey; Raghu Ganti; Kommy Weldemariam; Rahul Ramachandran,arXiv (Cornell University),10.48550/arXiv.2310.18660,2310.18660,http://arxiv.org/abs/2310.18660,3DG82SVH,zotero:3DG82SVH,O,Optical only,no,Paired/short sequence,yes,30.0,30.0,30.0,100.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-10-28,2023,10,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M006,CROMA,CROMA,2023,2023,Peer-reviewed,CROMA: Remote Sensing Representations with Contrastive Radar-Optical Masked Autoencoders,Anthony Fuller; Koreen Millard; James Green,arXiv (Cornell University),10.48550/arxiv.2311.00566,2311.00566,https://proceedings.neurips.cc/paper_files/paper/2023/hash/11822e84689e631615199db3b75cd0e4-Abstract-Conference.html,UHV788LH,zotero:UHV788LH,"O,M",Optical + microwave/SAR,yes,Paired/short sequence,yes,10.0,10.0,10.0,86.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-11-01,2023,11,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M016,SpectralGPT,SpectralGPT,2023,2024,Peer-reviewed,SpectralGPT: Spectral Remote Sensing Foundation Model,Danfeng Hong; Bing Zhang; Xuyang Li; Yuxuan Li; Chenyu Li; Jing Yao; Naoto Yokoya; Hao Li; Pedram Ghamisi; Xiuping Jia; Antonio Plaza; Paolo Gamba; Jon Atli Benediktsson; Jocelyn Chanussot,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2024.3362475,2311.07113,https://ieeexplore.ieee.org/document/10490262,S35XQMKJ,zotero:S35XQMKJ,O,Optical only,no,Single/snapshot,no,10.0,60.0,24.49489742783178,600.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-11-13,2023,11,Earliest indexed candidate record,day,Primary PDF reports Sentinel-2 10-60 m inputs and 100M/300M/600M variants.,
M008,FoMo,FoMo,2023,2025,Peer-reviewed,"FoMo: Multi-Modal, Multi-Scale and Multi-Task Remote Sensing Foundation Models for Forest Monitoring",Nikolaos Ioannis Bountos; Arthur Ouaknine; Ioannis Papoutsis; David Rolnick,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v39i27.35002,2312.10114,https://ojs.aaai.org/index.php/AAAI/article/view/35002,GQ9N4NXM,zotero:GQ9N4NXM,"O,M,A",Broader multisensor/ancillary,yes,Paired/short sequence,yes,10.0,20.0,14.142135623730951,110.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-12-15,2023,12,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M015,SkySense,SkySense,2023,2024,Peer-reviewed,SkySense: A Multi-Modal Remote Sensing Foundation Model Towards Universal Interpretation for Earth Observation Imagery,Xin Guo; Jiangwei Lao; Bo Dang; Yingying Zhang; Lei Yu; Lixiang Ru; Liheng Zhong; Ziyuan Huang; Kang Wu; Dingxiang Hu; Huimei He; Jian Wang; Jingdong Chen; Ming Yang; Yongjun Zhang; Yansheng Li,Computer Vision and Pattern Recognition,10.1109/CVPR52733.2024.02613,2312.10115,https://ieeexplore.ieee.org/document/10655854,XZEZ2DQ2,zotero:XZEZ2DQ2,"O,M",Optical + microwave/SAR,yes,Explicit time series,yes,0.3,10.0,1.7320508075688772,2060.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-12-15,2023,12,Earliest indexed candidate record,day,Primary PDF identifies WorldView-3/4 plus Sentinel-1/2; native/analysis-ready sensor resolutions establish the range.,
M027,SatMAE++,SatMAE,2024,2024,Peer-reviewed,Rethinking Transformers Pre-training for Multi-Spectral Satellite Imagery,Mubashir Noman; Muzammal Naseer; Hisham Cholakkal; Rao Muhammad Anwar; Salman Khan; Fahad Shahbaz Khan,,10.1109/CVPR52733.2024.02627,2403.05419,https://ieeexplore.ieee.org/abstract/document/10657832,38ZWGRBD,zotero:38ZWGRBD,O,Optical only,no,Paired/short sequence,yes,10.0,60.0,24.49489742783178,307.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-03-08,2024,3,arXiv v1 (2403.05419),day,Primary PDF reports Sentinel-2 bands at 10-60 m and a ViT-L backbone.,
M025,MTP,MTP,2024,2024,Peer-reviewed,MTP: Advancing Remote Sensing Foundation Model via Multitask Pretraining,Di Wang; Jing Zhang; Minqiang Xu; Lin Liu; Dongsheng Wang; Erzhong Gao; Chengxi Han; Haonan Guo; Bo Du; Dacheng Tao; Liangpei Zhang,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2024.3408154,2403.1343,https://ieeexplore.ieee.org/abstract/document/10547536,VT3H7HCH,zotero:VT3H7HCH,O,Optical only,no,Single/snapshot,no,0.3,30.0,3.0,300.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-03-20,2024,3,Earliest indexed candidate record,day,Primary PDF reports SAMRS sources including FAIR1M (0.3-0.8 m) and DIOR (0.5-30 m); it positions MTP above 300M.,
M021,DOFA,DOFA,2024,2025,Preprint/technical report,Neural Plasticity-Inspired Multimodal Foundation Model for Earth Observation,Zhitong Xiong; Yi Wang; Fahong Zhang; Adam J. Stewart; Joëlle Hanna; Damian Borth; Ioannis Papoutsis; Bertrand Le Saux; Gustau Camps-Valls; Xiao Xiang Zhu,arXiv (Cornell University),10.48550/arXiv.2403.15356,2403.15356,http://arxiv.org/abs/2403.15356,GZ8MRK8U,zotero:GZ8MRK8U,"O,M",Optical + microwave/SAR,yes,Single/snapshot,no,1.0,30.0,5.477225575051661,337.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-03-22,2024,3,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M024,msGFM,msGFM,2024,2024,Peer-reviewed,Bridging Remote Sensors with Multisensor Geospatial Foundation Models,Boran Han; Shuai Zhang; Xingjian Shi; Markus Reichstein,arXiv (Cornell University),10.1109/CVPR52733.2024.02631,,https://ieeexplore.ieee.org/document/10658014,V3BUUSLT,zotero:V3BUUSLT,"O,M",Optical + microwave/SAR,yes,Single/snapshot,no,0.1,153.0,3.9115214431215892,89.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-04-01,2024,4,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M010,OmniSat,OmniSat,2023,2024,Peer-reviewed,OmniSat: Self-supervised Modality Fusion for Earth Observation,Guillaume Astruc; Nicolas Gonthier; Clement Mallet; Loic Landrieu; Aleš Leonardis; Elisa Ricci; Stefan Roth; Olga Russakovsky; Torsten Sattler; Gül Varol,,10.1007/978-3-031-73390-1_24,2404.08351,https://arxiv.org/abs/2404.08351,FT5MHQCH,zotero:FT5MHQCH,"O,M,A",Broader multisensor/ancillary,yes,Explicit time series,yes,10.0,10.0,10.0,,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-04-12,2024,4,arXiv v1 (2404.08351); corrected unrelated ID,day,Retained v2 primary-paper coding; no v5 metric change.,
M028,SatSwinMAE,SatSwinMAE,2024,2024,Preprint/technical report,SatSwinMAE: Efficient Autoencoding for Multiscale Time-series Satellite Imagery,Yohei Nakayama; Jiawei Su; Luis M. Pazos-Outón,arXiv (Cornell University),10.48550/arXiv.2405.02512,2405.02512,http://arxiv.org/abs/2405.02512,ZVTA57NH,zotero:ZVTA57NH,O,Optical only,no,Explicit time series,yes,10.0,60.0,24.49489742783178,,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-05-03,2024,5,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M023,MMEarth,MMEarth,2024,2024,Peer-reviewed,MMEarth: Exploring Multi-modal Pretext Tasks for Geospatial Representation Learning,Vishal Nedungadi; Ankit Kariryaa; Stefan Oehmcke; Serge Belongie; Christian Igel; Nico Lang; Aleš Leonardis; Elisa Ricci; Stefan Roth; Olga Russakovsky; Torsten Sattler; Gül Varol,,10.1007/978-3-031-73039-9_10,2405.02771,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/7588_ECCV_2024_paper.php,Q6URUXQY,zotero:Q6URUXQY,"O,M,A",Broader multisensor/ancillary,yes,Explicit time series,yes,10.0,10.0,10.0,3.7,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-05-04,2024,5,arXiv v1 (2405.02771),day,Primary PDF states all modalities are aligned to the Sentinel-2 10 m grid and reports 3.7M MP-MAE parameters.,
M030,SpectralEarth,SpectralEarth,2024,2025,Peer-reviewed,SpectralEarth: Training Hyperspectral Foundation Models at Scale,Nassim Ait Ali Braham; Conrad M. Albrecht; Julien Mairal; Jocelyn Chanussot; Yi Wang; Xiao Xiang Zhu,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2025.3581451,2408.08447,https://ieeexplore.ieee.org/document/11045062,T53I8Y2Z,zotero:T53I8Y2Z,O,Optical only,no,Single/snapshot,no,30.0,30.0,30.0,,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-08-15,2024,8,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M020,CrossEarth,CrossEarth,2024,2025,Peer-reviewed,CrossEarth: Geospatial Vision Foundation Model for Domain Generalizable Remote Sensing Semantic Segmentation,Ziyang Gong; Zhixiang Wei; Di Wang; Xiaoxing Hu; Xianzheng Ma; Hongruixuan Chen; Yuru Jia; Yupeng Deng; Zhenming Ji; Xiangwei Zhu; Xue Yang; Naoto Yokoya; Jing Zhang; Bo Du; Junchi Yan; Liangpei Zhang,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2025.3649001,2410.22629,https://ieeexplore.ieee.org/document/11316817,6BQGYFBJ,zotero:6BQGYFBJ,O,Optical only,no,Single/snapshot,no,0.5,153.0,8.74642784226795,86.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-10-30,2024,10,Earliest indexed candidate record,day,Primary PDF uses MillionAID for continual pretraining; the source dataset reports 0.5-153 m imagery.,
